Project_Type,Team_Size,Project_Budget_USD,Estimated_Timeline_Months,Complexity_Score,Stakeholder_Count,Methodology_Used,Team_Experience_Level,Past_Similar_Projects,External_Dependencies_Count,Change_Request_Frequency,Project_Phase,Requirement_Stability,Team_Turnover_Rate,Vendor_Reliability_Score,Historical_Risk_Incidents,Communication_Frequency,Regulatory_Compliance_Level,Technology_Familiarity,Geographical_Distribution,Stakeholder_Engagement_Level,Schedule_Pressure,Budget_Utilization_Rate,Executive_Sponsorship,Funding_Source,Market_Volatility,Integration_Complexity,Resource_Availability,Priority_Level,Organizational_Change_Frequency,Cross_Functional_Dependencies,Previous_Delivery_Success_Rate,Technical_Debt_Level,Project_Manager_Experience,Org_Process_Maturity,Data_Security_Requirements,Key_Stakeholder_Availability,Contract_Type,Resource_Contention_Level,Industry_Volatility,Client_Experience_Level,Change_Control_Maturity,Risk_Management_Maturity,Team_Colocation,Documentation_Quality,Project_Start_Month,Current_Phase_Duration_Months,Seasonal_Risk_Factor,Risk_Level
Construction,33,1800305.76,24,6.41,13,Waterfall,Mixed,2,3,1.44,Planning,Stable,0.26,0.88,1,1.28,Low,Expert,4,Medium,0.0,1.3,Strong,External,0.94,8.3,0.45,Critical,0.34,1,0.84,0.0,Mid-level PM,Defined,High,Good,Hybrid,High,Moderate,Strategic,Basic,Formal,Hybrid,Poor,10,9,1.0,Medium
Manufacturing,8,737532.79,11,3.39,5,Kanban,Senior,2,2,3.27,Monitoring,Volatile,0.02,0.79,0,6.44,Low,Familiar,1,Low,0.0,1.25,Strong,Internal,0.65,4.9,0.38,Medium,0.95,4,0.9,0.0,Senior PM,Defined,Low,Excellent,Hybrid,Low,Moderate,Occasional,Basic,Basic,Hybrid,Good,9,4,1.0,Low
R&D,19,1581517.24,24,9.77,16,Scrum,Mixed,3,6,1.74,Initiation,Stable,0.38,0.9,5,2.24,Medium,New,4,Low,0.02,0.67,Strong,Internal,0.03,9.75,0.77,Medium,0.4,1,0.85,0.0,Junior PM,Optimizing,High,Excellent,Time & Materials,Low,Moderate,Occasional,Advanced,Formal,Fully Colocated,Excellent,12,10,1.0,Medium
IT,4,620995.09,9,2.45,8,Agile,Senior,1,3,0.22,Initiation,Moderate,0.12,0.53,2,5.69,Low,Expert,5,Medium,0.0,1.19,Moderate,Internal,0.01,3.42,0.43,Critical,0.6,6,0.58,0.99,Mid-level PM,Managed,Medium,Good,Fixed-Price,Medium,Stable,Regular,Formal,Basic,Partially Colocated,Excellent,2,2,1.0,High
Healthcare,24,1474203.87,21,6.96,16,Hybrid,Expert,5,4,2.11,Execution,Moderate,0.15,0.65,2,3.85,Critical,Familiar,5,Excellent,0.0,0.62,Weak,Internal,0.78,7.8,0.72,High,4.49,6,0.85,0.0,Junior PM,Optimizing,Strict,Limited,Fixed-Price,Low,High,Strategic,Formal,Advanced,Fully Remote,Basic,1,8,1.0,Low
R&D,18,1610584.31,20,8.36,14,Scrum,Senior,2,5,0.49,Execution,Stable,0.2,0.82,2,2.44,Low,New,5,Medium,0.04,0.63,Weak,External,0.43,8.3,0.77,Medium,1.08,6,0.75,0.0,Senior PM,Defined,Medium,Limited,Time & Materials,Low,High,Regular,Basic,Basic,Fully Colocated,Basic,7,2,1.0,High
Manufacturing,10,319212.47,10,3.54,8,Waterfall,Senior,2,3,0.89,Planning,Stable,0.09,0.86,0,7.05,Critical,Familiar,2,Excellent,0.0,1.01,Strong,Internal,0.81,6.49,0.38,Low,0.57,5,0.91,0.0,Junior PM,Defined,Medium,Excellent,Hybrid,Medium,High,First-time,Formal,Basic,Fully Remote,Basic,5,4,1.0,Low
IT,10,790866.38,16,7.99,7,Agile,Senior,3,3,0.37,Monitoring,Stable,0.2,0.31,1,2.79,High,Expert,5,High,0.2,0.68,Strong,Internal,0.7,5.94,0.36,Low,0.83,1,0.66,0.01,Senior PM,Optimizing,Medium,Excellent,Time & Materials,Low,Extreme,First-time,Formal,Formal,Fully Remote,Basic,12,1,1.1,Medium
R&D,23,1990838.8,24,10.0,17,Scrum,Mixed,1,4,3.63,Planning,Moderate,0.45,0.88,5,1.88,High,New,4,Excellent,0.04,0.73,Moderate,Internal,0.91,1.12,0.68,Low,0.18,6,0.66,0.0,Mid-level PM,Managed,High,Excellent,Cost-Plus,Low,Extreme,Occasional,Formal,Formal,Fully Colocated,Poor,12,7,1.0,High
IT,5,585837.43,15,5.12,8,Kanban,Senior,3,1,1.55,Planning,Stable,0.32,0.68,2,1.07,Medium,Familiar,5,High,0.0,1.27,Moderate,External,0.91,1.2,0.75,Low,1.03,3,0.78,0.89,Senior PM,Optimizing,High,Limited,Time & Materials,Low,Stable,Occasional,Basic,Basic,Partially Colocated,Poor,12,6,1.1,Medium
IT,11,1079672.74,10,4.46,13,Scrum,Expert,3,1,1.64,Initiation,Moderate,0.27,0.66,1,5.44,Critical,Familiar,4,Medium,0.1,0.62,Weak,Mixed,0.64,6.96,0.82,High,1.61,4,0.54,0.02,Senior PM,Managed,High,Good,Time & Materials,High,Moderate,Strategic,Advanced,Formal,Fully Remote,Basic,9,4,1.0,Medium
IT,14,1290075.71,22,10.0,12,Scrum,Mixed,2,4,0.29,Planning,Moderate,0.22,0.82,0,2.13,Medium,Expert,5,Medium,0.12,0.68,Weak,External,0.94,6.81,0.37,Critical,0.71,4,0.55,0.62,Senior PM,Managed,Medium,Good,Fixed-Price,Low,High,Regular,Formal,Basic,Partially Colocated,Good,9,1,1.0,High
Marketing,14,923117.99,20,6.37,7,Hybrid,Junior,1,4,0.55,Initiation,Moderate,0.42,0.84,2,3.51,Critical,Familiar,1,High,0.0,0.65,Strong,Internal,0.95,8.67,0.62,High,2.83,3,0.92,0.0,Mid-level PM,Defined,Medium,Excellent,Cost-Plus,Low,Extreme,Strategic,Basic,Basic,Hybrid,Basic,10,4,1.1,Medium
R&D,18,1814824.23,23,8.56,17,Scrum,Senior,5,4,0.75,Planning,Moderate,0.27,0.97,1,1.4,Critical,New,2,Poor,0.0,1.24,Weak,External,0.96,3.87,0.57,Low,1.39,3,0.34,0.0,Senior PM,Optimizing,High,Moderate,Fixed-Price,High,High,Regular,Basic,Formal,Partially Colocated,Basic,11,10,1.0,Critical
R&D,19,1610934.52,26,10.0,12,Scrum,Mixed,3,5,1.85,Closure,Stable,0.61,0.78,0,5.55,Critical,Familiar,3,Excellent,0.0,1.13,Weak,Mixed,0.14,4.28,0.38,Medium,2.49,4,0.86,0.0,Mid-level PM,Defined,High,Excellent,Cost-Plus,Low,High,Occasional,Formal,Unknown,Hybrid,Basic,3,8,1.0,Medium
IT,14,893197.43,18,5.8,10,Kanban,Junior,3,1,1.07,Planning,Moderate,0.21,0.61,1,3.99,High,Familiar,5,High,0.0,0.64,Moderate,External,0.96,4.53,0.67,Low,0.97,0,0.89,0.99,Senior PM,Defined,Strict,Good,Fixed-Price,Low,Moderate,Strategic,Basic,Unknown,Fully Colocated,Basic,3,5,1.0,Low
Marketing,8,563227.3,8,2.47,5,Hybrid,Mixed,0,3,1.13,Closure,Moderate,0.05,0.82,0,1.82,Critical,Familiar,4,Medium,0.0,0.76,Moderate,Internal,0.03,6.47,0.7,Medium,0.6,7,0.76,0.0,Senior PM,Defined,Medium,Poor,Cost-Plus,Medium,High,Occasional,Formal,Unknown,Fully Remote,Good,7,1,1.0,Medium
Construction,26,1599789.18,24,7.0,14,Waterfall,Senior,3,3,1.46,Execution,Stable,0.11,0.88,1,4.62,Critical,Expert,5,Medium,0.0,1.13,Strong,External,0.34,7.88,0.75,Low,1.03,7,0.76,0.0,Senior PM,Defined,Low,Moderate,Time & Materials,High,Moderate,Occasional,Basic,Unknown,Fully Colocated,Basic,8,11,1.0,High
Healthcare,6,443802.99,6,2.93,6,Hybrid,Junior,0,2,1.92,Planning,Volatile,0.81,0.46,1,1.64,Medium,Expert,3,Poor,0.18,1.28,Moderate,Internal,0.17,4.26,0.94,High,2.13,6,0.78,0.0,Mid-level PM,Optimizing,High,Moderate,Hybrid,Low,Moderate,Strategic,Formal,Basic,Partially Colocated,Basic,6,1,1.0,Medium
Construction,20,1334174.8,14,3.9,9,Waterfall,Mixed,1,0,0.75,Planning,Moderate,0.12,0.85,0,1.94,High,Expert,4,Excellent,0.0,0.78,Moderate,External,0.75,5.43,0.51,High,2.11,6,0.78,0.0,Junior PM,Ad-hoc,Medium,Excellent,Time & Materials,High,Stable,Regular,Unknown,Basic,Fully Remote,Excellent,9,1,1.0,High
R&D,21,1992666.89,23,9.45,16,Agile,Expert,4,6,2.77,Closure,Moderate,0.09,0.74,2,3.97,Low,New,1,Medium,0.03,1.14,Strong,External,0.37,6.93,0.64,Medium,0.98,0,0.88,0.0,Certified PM,Managed,High,Poor,Time & Materials,High,High,Strategic,Formal,Advanced,Fully Colocated,Basic,2,4,1.0,Low
Construction,40,2343377.48,29,6.42,20,Waterfall,Mixed,1,5,2.66,Closure,Volatile,0.52,0.78,3,1.02,Critical,Familiar,3,High,0.0,0.92,Weak,External,0.32,8.72,0.93,Critical,0.3,3,0.83,0.0,Senior PM,Defined,Low,Poor,Fixed-Price,Medium,Moderate,Strategic,Basic,Basic,Partially Colocated,Good,7,11,1.0,High
Healthcare,5,895497.56,6,2.67,9,Agile,Senior,4,0,0.42,Monitoring,Moderate,0.1,0.76,1,1.47,Medium,New,5,Low,0.1,0.82,Moderate,External,0.47,9.22,0.7,High,1.35,4,0.88,0.0,Mid-level PM,Defined,High,Poor,Time & Materials,Medium,Moderate,Strategic,Basic,Formal,Partially Colocated,Good,10,1,1.0,Medium
Healthcare,14,699647.06,18,5.94,9,Waterfall,Mixed,1,2,0.65,Monitoring,Moderate,0.29,0.7,1,5.41,Low,Familiar,1,Low,0.0,0.85,Strong,Internal,0.86,4.28,0.67,Critical,4.25,6,0.73,0.0,Mid-level PM,Managed,Low,Moderate,Time & Materials,Low,Moderate,Occasional,Formal,Formal,Fully Colocated,Excellent,2,6,1.0,Low
Healthcare,15,807666.46,11,3.46,9,Waterfall,Expert,4,2,2.11,Initiation,Moderate,0.09,0.73,2,3.21,Low,Expert,3,Low,0.0,1.17,Moderate,Internal,0.75,8.81,0.57,Critical,0.93,1,0.71,0.0,Senior PM,Managed,Medium,Good,Cost-Plus,High,High,Regular,Formal,Advanced,Hybrid,Excellent,2,1,1.0,Medium
IT,13,702922.87,15,7.17,5,Agile,Junior,1,4,1.34,Execution,Moderate,0.19,0.82,1,2.69,Low,Expert,5,High,0.16,0.92,Moderate,Internal,0.26,1.21,0.4,Medium,1.02,1,0.7,0.91,Senior PM,Managed,Strict,Excellent,Fixed-Price,Low,Extreme,Occasional,Formal,Basic,Fully Colocated,Basic,7,5,1.0,High
Marketing,10,654225.08,12,4.19,11,Waterfall,Expert,2,1,0.68,Initiation,Volatile,0.22,0.09,2,3.33,Critical,Familiar,1,High,0.0,0.98,Moderate,Internal,0.3,3.21,0.76,Low,1.16,1,0.84,0.0,Senior PM,Optimizing,Low,Good,Hybrid,Low,Moderate,Occasional,Advanced,Advanced,Hybrid,Basic,8,2,1.0,Low
R&D,22,2046132.71,27,9.23,19,Scrum,Mixed,3,4,1.13,Closure,Moderate,0.17,0.86,2,4.83,High,Expert,1,Poor,0.0,0.99,Weak,External,0.28,6.82,0.31,Low,0.87,4,0.78,0.0,Mid-level PM,Defined,Strict,Good,Fixed-Price,Medium,Extreme,Regular,Basic,Basic,Hybrid,Basic,5,9,1.0,High
Manufacturing,11,709366.39,14,5.35,6,Scrum,Senior,8,3,1.8,Planning,Moderate,0.16,0.91,1,1.27,Medium,New,5,Excellent,0.0,1.16,Weak,External,0.21,2.39,0.43,Low,1.29,3,0.81,0.0,Certified PM,Managed,High,Good,Time & Materials,Low,Moderate,Regular,Formal,Basic,Hybrid,Basic,9,2,1.0,Low
Healthcare,12,1041471.46,14,4.87,7,Kanban,Mixed,3,3,3.73,Monitoring,Moderate,0.12,0.7,1,6.49,High,Familiar,2,High,0.0,1.26,Strong,External,0.94,6.99,0.46,Medium,1.04,5,0.85,0.0,Senior PM,Managed,High,Moderate,Hybrid,Medium,Moderate,Regular,Formal,Formal,Fully Colocated,Poor,10,1,1.0,Medium
R&D,19,1906768.48,24,10.0,16,Agile,Expert,8,5,2.25,Closure,Moderate,0.17,0.67,3,2.18,Low,New,4,Medium,0.04,0.92,Moderate,Internal,0.21,1.24,0.8,Low,1.32,5,0.93,0.0,Senior PM,Managed,Medium,Limited,Fixed-Price,High,Extreme,Occasional,Formal,Basic,Fully Remote,Good,4,3,1.0,Medium
Construction,20,1240572.49,25,7.42,12,Hybrid,Expert,5,4,0.35,Closure,Moderate,0.21,0.78,2,3.78,High,Expert,1,High,0.0,0.7,Moderate,External,0.67,4.26,0.71,High,2.11,3,0.55,0.0,Senior PM,Managed,Medium,Moderate,Cost-Plus,Medium,Moderate,First-time,Formal,Basic,Hybrid,Basic,11,2,1.0,Low
R&D,17,1708242.5,18,7.35,15,Agile,Senior,1,2,0.24,Initiation,Moderate,0.3,0.57,1,3.46,High,Expert,4,Low,0.02,1.29,Moderate,Internal,0.75,9.85,0.3,Critical,1.01,2,0.75,0.0,Senior PM,Defined,Medium,Moderate,Fixed-Price,High,Stable,Strategic,Formal,Formal,Fully Remote,Poor,4,1,1.0,High
Construction,29,1791543.82,24,5.6,12,Hybrid,Expert,4,1,1.42,Execution,Moderate,0.06,0.82,1,1.33,High,Familiar,5,Medium,0.0,0.93,Moderate,Internal,0.47,2.29,0.66,High,0.69,7,0.63,0.0,Senior PM,Managed,Low,Limited,Cost-Plus,Medium,Moderate,Occasional,Formal,Formal,Partially Colocated,Basic,12,4,1.0,Low
Marketing,11,625330.69,11,4.78,5,Hybrid,Mixed,0,2,1.48,Closure,Moderate,0.57,0.73,2,9.01,Critical,New,3,Excellent,0.08,1.11,Moderate,Internal,0.09,7.26,0.81,Medium,0.24,1,0.71,0.0,Junior PM,Defined,Medium,Moderate,Time & Materials,Medium,High,First-time,Basic,Unknown,Fully Remote,Poor,12,3,1.1,Critical
Marketing,22,1035550.38,24,7.05,13,Waterfall,Expert,5,3,5.17,Monitoring,Stable,0.26,0.87,2,1.46,High,New,2,Poor,0.0,1.16,Weak,Government,0.41,3.91,0.71,Critical,0.73,7,0.9,0.0,Certified PM,Optimizing,Strict,Excellent,Time & Materials,High,High,Occasional,Formal,Formal,Fully Colocated,Excellent,4,3,1.0,Medium
Construction,29,1662956.47,24,6.6,16,Waterfall,Junior,3,4,2.94,Closure,Stable,0.18,0.77,2,2.64,Critical,Familiar,5,High,0.0,1.13,Weak,Mixed,0.21,6.59,0.59,Critical,0.4,3,0.85,0.0,Mid-level PM,Defined,Medium,Moderate,Time & Materials,Medium,Moderate,Occasional,Formal,Unknown,Fully Remote,Basic,9,4,1.0,High
Marketing,9,697115.58,9,3.75,7,Scrum,Senior,1,2,2.9,Closure,Stable,0.05,0.65,2,6.22,Critical,Familiar,2,Excellent,0.04,0.73,Moderate,External,0.14,5.37,0.86,High,0.16,3,0.66,0.0,Mid-level PM,Optimizing,High,Limited,Fixed-Price,Medium,High,Occasional,Advanced,Advanced,Hybrid,Good,4,1,1.0,Low
Construction,22,1382855.61,19,5.39,15,Hybrid,Mixed,3,2,0.19,Closure,Moderate,0.37,0.46,2,7.93,Medium,Familiar,3,Low,0.0,1.08,Moderate,Internal,0.68,2.9,0.86,Critical,0.75,2,0.52,0.0,Junior PM,Managed,Low,Moderate,Time & Materials,High,High,First-time,Basic,Formal,Fully Remote,Excellent,1,4,1.0,High
Construction,38,2251031.41,31,6.97,18,Waterfall,Junior,1,3,1.36,Closure,Moderate,0.22,0.63,2,1.88,High,New,4,Excellent,0.0,0.64,Weak,Internal,0.4,2.95,0.51,High,2.28,7,0.95,0.0,Mid-level PM,Defined,Low,Moderate,Time & Materials,High,Moderate,Strategic,Formal,Formal,Fully Remote,Basic,10,10,1.0,High
Construction,32,2428430.96,30,8.38,18,Hybrid,Junior,0,3,0.28,Execution,Stable,0.28,0.61,1,4.43,High,Familiar,5,Medium,0.0,1.0,Weak,Internal,0.8,4.96,0.79,Low,0.75,1,0.8,0.0,Junior PM,Ad-hoc,Low,Moderate,Hybrid,Medium,Extreme,Regular,Unknown,Unknown,Hybrid,Poor,6,7,1.0,Critical
Healthcare,8,1012669.34,12,5.83,12,Agile,Expert,3,1,2.04,Closure,Stable,0.13,0.88,0,3.82,Low,Expert,2,High,0.18,0.98,Moderate,External,0.33,9.69,0.47,High,1.15,3,0.48,0.0,Senior PM,Ad-hoc,Medium,Good,Cost-Plus,Medium,High,Regular,Unknown,Basic,Partially Colocated,Excellent,6,1,1.0,Low
R&D,22,1707458.61,24,10.0,15,Agile,Mixed,2,6,2.74,Monitoring,Stable,0.49,0.63,2,4.29,High,Familiar,2,Low,0.04,0.96,Moderate,Mixed,0.52,4.96,0.7,Critical,0.94,2,0.57,0.0,Senior PM,Defined,Medium,Poor,Time & Materials,High,Extreme,Regular,Formal,Basic,Partially Colocated,Poor,4,11,1.0,Critical
Construction,37,1796504.65,34,9.19,18,Waterfall,Junior,1,5,2.35,Execution,Stable,0.29,0.75,1,3.85,Medium,Familiar,2,Medium,0.0,1.15,Moderate,External,0.4,4.72,0.64,Critical,0.11,3,0.77,0.0,Mid-level PM,Defined,Medium,Poor,Fixed-Price,High,Extreme,Occasional,Unknown,Formal,Fully Remote,Poor,7,3,1.0,Critical
IT,18,1323441.57,24,8.46,10,Kanban,Mixed,0,5,1.55,Initiation,Moderate,0.59,0.65,1,6.46,High,Familiar,4,Medium,0.0,0.76,Moderate,External,0.65,9.03,0.57,Low,1.65,2,0.88,0.68,Junior PM,Managed,High,Poor,Fixed-Price,Low,Moderate,Regular,Basic,Basic,Fully Colocated,Excellent,2,1,1.0,High
IT,10,1017358.73,18,6.57,7,Scrum,Expert,9,5,3.88,Planning,Moderate,0.16,0.33,1,3.27,Medium,Familiar,2,Excellent,0.0,1.1,Moderate,Government,0.64,6.14,0.67,High,0.2,7,0.79,0.93,Certified PM,Defined,High,Good,Cost-Plus,Medium,Stable,Occasional,Basic,Basic,Fully Colocated,Excellent,7,1,1.0,Low
Manufacturing,10,467097.29,11,5.33,10,Scrum,Senior,4,4,2.28,Planning,Moderate,0.07,0.59,1,0.85,High,Familiar,3,Poor,0.17,0.78,Moderate,External,0.89,1.72,0.72,High,4.02,6,0.68,0.0,Senior PM,Optimizing,Low,Limited,Fixed-Price,High,Stable,First-time,Unknown,Advanced,Partially Colocated,Good,9,3,1.0,Medium
Construction,28,1852805.21,18,4.17,13,Waterfall,Mixed,1,4,0.59,Monitoring,Moderate,0.67,0.69,2,0.73,High,New,4,Excellent,0.0,0.98,Moderate,External,0.19,2.28,0.62,High,2.7,7,0.81,0.0,Junior PM,Ad-hoc,Low,Moderate,Fixed-Price,High,Stable,Strategic,Unknown,Unknown,Hybrid,Poor,10,5,1.0,High
Manufacturing,6,837668.58,11,3.43,9,Scrum,Senior,0,2,1.68,Monitoring,Stable,0.08,0.37,0,2.03,High,Expert,4,Poor,0.0,0.74,Moderate,Internal,0.97,7.26,0.64,Critical,0.9,0,0.73,0.0,Senior PM,Defined,High,Moderate,Time & Materials,Medium,Stable,Regular,Unknown,Basic,Hybrid,Basic,8,2,1.0,Medium
Healthcare,17,1163406.19,19,6.63,12,Agile,Senior,4,3,2.19,Closure,Moderate,0.16,0.78,3,3.97,Critical,Expert,5,High,0.0,0.97,Strong,External,0.94,7.26,0.53,High,0.42,6,0.95,0.0,Mid-level PM,Defined,High,Moderate,Cost-Plus,Low,Moderate,Strategic,Unknown,Basic,Fully Remote,Poor,7,6,1.0,Medium
Healthcare,14,747592.83,13,4.81,7,Hybrid,Senior,3,2,3.21,Execution,Stable,0.01,0.74,0,1.9,Low,Familiar,5,Poor,0.0,0.87,Weak,Mixed,0.52,6.37,0.81,Medium,0.44,4,0.88,0.0,Senior PM,Managed,Medium,Moderate,Cost-Plus,Medium,Stable,Occasional,Basic,Formal,Hybrid,Good,6,4,1.0,Low
IT,13,964699.76,18,7.91,9,Scrum,Mixed,1,4,0.51,Initiation,Stable,0.46,0.63,1,1.82,Low,Expert,4,Medium,0.09,1.15,Moderate,External,0.72,6.12,0.54,Medium,0.8,1,0.69,0.87,Mid-level PM,Managed,Medium,Poor,Fixed-Price,Low,High,Regular,Advanced,Basic,Hybrid,Poor,11,7,1.1,High
IT,13,887120.96,13,6.06,11,Agile,Senior,7,2,0.75,Planning,Moderate,0.18,0.59,1,5.01,Critical,Familiar,2,Low,0.14,0.82,Moderate,Internal,0.41,3.54,0.49,Low,1.45,2,0.7,0.89,Senior PM,Managed,Medium,Limited,Time & Materials,Low,High,Regular,Formal,Advanced,Hybrid,Excellent,8,3,1.0,Medium
Marketing,9,585298.75,8,4.25,4,Agile,Senior,5,4,0.88,Initiation,Moderate,0.25,0.94,0,1.28,High,Expert,5,Medium,0.25,1.24,Moderate,Government,0.38,3.08,0.75,Medium,0.64,3,0.72,0.0,Senior PM,Managed,Medium,Limited,Hybrid,Low,High,Occasional,Advanced,Formal,Partially Colocated,Poor,2,2,1.0,Low
IT,6,530888.18,13,4.59,4,Kanban,Mixed,0,3,0.72,Closure,Volatile,0.33,0.89,2,1.03,Low,Familiar,3,Excellent,0.0,0.96,Weak,Mixed,0.15,9.53,0.68,Low,0.15,0,0.5,0.73,Mid-level PM,Managed,Strict,Limited,Fixed-Price,Low,Stable,First-time,Advanced,Basic,Fully Remote,Basic,12,2,1.1,Medium
IT,17,1207287.61,21,8.66,15,Scrum,Senior,2,4,1.27,Closure,Stable,0.26,0.33,1,6.55,Medium,New,5,High,0.03,1.28,Moderate,External,0.22,2.9,0.69,High,1.71,0,0.95,0.16,Mid-level PM,Managed,High,Good,Hybrid,Medium,Moderate,Strategic,Basic,Formal,Fully Remote,Basic,6,9,1.0,High
R&D,18,1827546.1,20,7.29,19,Agile,Mixed,2,3,1.37,Execution,Stable,0.27,0.6,3,1.83,High,New,4,Poor,0.0,0.89,Moderate,Mixed,0.96,8.48,0.42,Critical,0.77,0,0.56,0.0,Mid-level PM,Managed,Medium,Moderate,Time & Materials,Low,High,Strategic,Unknown,Basic,Fully Remote,Poor,6,2,1.0,Critical
Construction,24,1412891.66,20,5.27,12,Hybrid,Senior,6,2,0.81,Monitoring,Stable,0.1,0.79,3,1.13,Critical,Expert,4,Medium,0.0,0.84,Moderate,External,0.2,9.35,0.42,Critical,0.58,3,0.8,0.0,Certified PM,Managed,High,Good,Cost-Plus,Medium,Stable,Regular,Basic,Formal,Partially Colocated,Poor,9,2,1.0,Medium
Manufacturing,9,601496.05,7,4.42,11,Scrum,Mixed,0,1,0.68,Planning,Moderate,0.56,0.95,1,5.76,Medium,Expert,5,Excellent,0.37,0.68,Weak,External,0.98,3.85,0.71,Critical,0.54,1,0.84,0.0,Junior PM,Defined,Low,Limited,Time & Materials,Low,Moderate,Occasional,Formal,Basic,Fully Colocated,Basic,12,1,1.0,Medium
Manufacturing,21,1335362.31,23,8.34,15,Hybrid,Junior,1,4,0.24,Execution,Stable,0.32,0.56,1,1.65,Medium,New,5,Excellent,0.0,1.19,Strong,Mixed,0.83,2.9,0.75,High,1.87,5,0.81,0.0,Mid-level PM,Defined,Low,Good,Time & Materials,High,High,Regular,Formal,Unknown,Hybrid,Excellent,1,4,1.0,Critical
Marketing,12,1368417.22,22,7.82,16,Kanban,Senior,9,3,3.44,Initiation,Stable,0.22,0.57,1,1.99,Low,Familiar,1,Medium,0.0,1.03,Moderate,Internal,0.16,5.79,0.5,Medium,1.63,0,0.73,0.0,Senior PM,Ad-hoc,Strict,Limited,Cost-Plus,Medium,Extreme,Regular,Unknown,Basic,Fully Remote,Good,9,9,1.0,Critical
IT,5,431775.66,8,3.83,6,Scrum,Junior,1,3,1.5,Execution,Moderate,0.26,0.81,1,3.85,Critical,Familiar,4,Poor,0.16,1.19,Strong,Internal,0.56,2.63,0.75,Critical,1.65,0,0.56,0.34,Mid-level PM,Optimizing,High,Good,Hybrid,Low,Stable,Occasional,Advanced,Formal,Partially Colocated,Basic,3,1,1.0,Low
IT,18,1177420.63,21,10.0,11,Scrum,Mixed,0,5,4.79,Monitoring,Moderate,0.16,0.71,3,1.32,High,Familiar,3,Low,0.16,1.28,Moderate,External,0.69,3.41,0.41,High,0.89,4,0.55,0.14,Senior PM,Optimizing,Strict,Limited,Fixed-Price,Medium,High,Occasional,Advanced,Formal,Partially Colocated,Good,7,6,1.0,High
Marketing,16,984698.57,24,9.03,8,Kanban,Junior,2,6,1.82,Closure,Moderate,0.61,0.88,1,2.62,Low,Familiar,5,Excellent,0.0,1.23,Moderate,Internal,0.46,5.64,0.66,Medium,6.0,3,0.96,0.0,Certified PM,Managed,Medium,Moderate,Time & Materials,High,Extreme,Occasional,Unknown,Basic,Fully Colocated,Basic,3,11,1.0,High
R&D,7,914267.86,12,6.13,9,Agile,Mixed,4,3,0.62,Initiation,Moderate,0.33,0.78,1,3.63,Medium,Familiar,4,Excellent,0.22,1.21,Moderate,External,0.77,2.43,0.79,Critical,0.33,7,0.83,0.0,Mid-level PM,Managed,High,Moderate,Fixed-Price,High,Moderate,Occasional,Unknown,Formal,Fully Colocated,Basic,3,3,1.0,High
Healthcare,25,956977.83,23,8.3,10,Waterfall,Mixed,2,6,1.03,Execution,Moderate,0.47,0.52,1,1.95,Low,Familiar,3,Medium,0.0,1.03,Moderate,Mixed,0.51,7.86,0.46,High,0.87,0,0.75,0.0,Junior PM,Managed,Strict,Excellent,Cost-Plus,Medium,High,Occasional,Formal,Formal,Fully Remote,Basic,1,1,1.0,Critical
Healthcare,9,923507.95,8,3.76,13,Scrum,Junior,1,1,0.98,Monitoring,Moderate,0.33,0.83,0,2.76,Medium,Familiar,2,Medium,0.15,0.92,Moderate,Internal,0.54,6.67,0.72,Medium,0.41,5,0.86,0.0,Mid-level PM,Defined,Medium,Good,Time & Materials,Medium,Stable,Strategic,Unknown,Formal,Hybrid,Good,7,3,1.0,Low
IT,16,1054663.99,18,7.39,9,Scrum,Senior,7,3,0.8,Closure,Volatile,0.33,0.69,2,6.15,Critical,Expert,2,High,0.03,0.79,Moderate,External,0.87,6.63,0.3,Critical,1.69,5,0.83,0.55,Mid-level PM,Optimizing,High,Moderate,Fixed-Price,Medium,Moderate,Regular,Advanced,Formal,Fully Colocated,Basic,1,4,1.0,Medium
IT,12,1002159.62,16,7.89,13,Agile,Senior,3,5,1.49,Execution,Stable,0.15,0.39,0,8.89,Low,Expert,2,Poor,0.19,0.66,Weak,Internal,0.89,7.92,1.0,Low,1.95,6,0.76,0.88,Mid-level PM,Managed,Medium,Poor,Hybrid,Low,Moderate,Occasional,Unknown,Formal,Partially Colocated,Basic,4,4,1.0,Critical
Marketing,29,1143241.31,28,8.31,14,Waterfall,Mixed,1,6,3.01,Execution,Stable,0.62,0.95,3,1.91,Low,Familiar,2,Excellent,0.0,1.08,Moderate,Government,0.26,4.39,0.51,Medium,4.29,3,0.87,0.0,Senior PM,Managed,High,Good,Time & Materials,High,High,Occasional,Formal,Basic,Fully Remote,Excellent,2,12,1.0,High
R&D,21,1770637.95,25,8.65,14,Agile,Mixed,1,6,1.11,Closure,Moderate,0.45,0.64,1,5.09,Low,New,5,High,0.0,1.09,Strong,Internal,0.52,1.2,0.32,Critical,0.7,2,0.93,0.0,Junior PM,Managed,Strict,Good,Time & Materials,Medium,Moderate,Occasional,Basic,Basic,Fully Colocated,Good,7,2,1.0,Medium
R&D,17,1373596.82,24,10.0,14,Agile,Senior,2,6,2.16,Closure,Volatile,0.35,0.81,4,3.11,High,New,1,Low,0.04,1.17,Moderate,Mixed,0.99,9.3,0.81,Low,2.31,0,0.85,0.0,Senior PM,Ad-hoc,High,Good,Time & Materials,Medium,High,First-time,Basic,Unknown,Fully Remote,Excellent,2,6,1.0,Critical
